"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"IndusInd Bank","Platinum RuPay Credit Card","Credit Card","NILL","Lifetime Free - Zero Joining Fee & Zero Annual Fee","https://www.indusind.com/content/dam/indusind-platform-images/productCategory/desktopImage/creditCard/IndusInd-Platinum-Rupay-Credit-Card-397x257.png","https://www.indusind.com/in/en/personal/cards/credit-card/platinum-rupay-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=website&utm_medium=header_nav&utm_campaign=apply-online-apply_for_credit_card_CTA","0","0","NILL","0","47.40%","NILL","100","100","NILL","NILL","2.5% of the advance amount (minimum Rs.300)","NILL","2.5% of Over Limit Amount (minimum Rs.500)","3.5%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2 Reward Points on every ₹100 transaction done through UPI, 1 Reward Point for every ₹100 on non-UPI transactions","NILL","NILL","NILL","2 Reward Points on UPI transactions, 1 Reward Point on non-UPI transactions","Fuel surcharge waiver, travel insurance coverage","Credit Card enabled on UPI, lifetime free, zero joining fee, zero annual fee","NILL","NILL","NILL","NILL","NILL","1% Fuel Surcharge Waiver","NILL","NILL","Travel insurance coverage","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Travel insurance, air accident cover","Total Protect program for unauthorized transactions","NILL","NILL","Yes, accepted worldwide","The IndusInd Bank Platinum RuPay Credit Card offers a seamless UPI integration for convenient transactions. Cardholders benefit from a fuel surcharge waiver at petrol pumps nationwide, contributing to savings on fuel expenses. The card also provides a comprehensive suite of features, including travel insurance coverage and a Total Protect program that covers unauthorized transactions, loss, theft, and counterfeit fraud.","NILL","NILL"
"IndusInd Bank","EazyDiner Platinum Credit Card","Retail","Dining","Lifetime Free with no joining fees and no annual fees","https://www.indusind.com/content/dam/indusind-corporate/Other/welcomekit/credit-card-benefits/PlatinumCard.png","https://www.indusind.com/in/en/personal/cards/credit-card/eazydiner-platinum-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=eazydiner&utm_medium=hpcarousal&utm_campaign=CC-Microsite&gclid=1&utm_content=12","0","0","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2 Reward Points on every INR 100 spent, except on Fuel, Insurance, Rent, Utility and Government","NILL","NILL","NILL","2","2000 welcome bonus EazyPoints, 3 months EazyDiner Prime membership worth INR 1,095","1% fuel surcharge waiver, Contactless Tap and Pay feature, Year-end Summary of Accounts","NILL","3 months EazyDiner Prime membership worth INR 1,095, Extra instant INR 500 off when you eat out","500","2000 Reward Points upon spending INR 30,000 every 90 days","NILL","1% fuel surcharge waiver","Guaranteed 25% up to 50% OFF at over 2000+ premium restaurants & bars","NILL","2 complimentary domestic visits every calendar quarter at airport lounges in India","2 complimentary movie tickets worth INR 200 each every month on bookmyshow.com","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic visits every calendar quarter at airport lounges in India","NILL","Fraudulent use of your card is covered up to the credit limit on your card","Total Protect covers unauthorized transactions in case of loss/theft of card","NILL","Contactless payments","Yes, accepted worldwide","Savor the best of culinary cuisine as IndusInd Bank and EazyDiner bring to you EazyDiner Credit Card. From instant discounts to accelerated rewards on dining, shopping and entertainment, this card is crafted for those who take delight in living life to the fullest.","NILL","NILL"
"IndusInd Bank","Legend Credit Card","Premium","Travel, Rewards","Lifetime free with world-class privileges on travel, dining, and shopping.","https://www.indusind.com/content/dam/indusind-platform-images/productCategory/desktopImage/creditCard/Legend_card-image_396x257px.png","https://www.indusind.com/in/en/personal/cards/credit-card/legend-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=website&utm_medium=selectLegend&utm_campaign=Credit-Card","Nil","Nil","NILL","NILL","47.40% p.a.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1.8%","NILL","NILL","NILL","NILL","NILL","NILL","2 reward points for every ₹100 spent on weekends, 1 reward point for every ₹100 spent on weekdays.","NILL","3,000 bonus reward points on spending ₹5 lakh in a year.","NILL","NILL","Complimentary movie tickets, Priority Pass membership, travel insurance, concierge services.","Contactless payments, auto assist, total protect insurance, fuel surcharge waiver.","NILL","NILL","NILL","3,000 bonus reward points on spending ₹5 lakh in a year.","NILL","1% fuel surcharge waiver, up to ₹100 per month.","NILL","NILL","Complimentary Priority Pass membership, travel insurance.","Buy one get one free movie ticket via BookMyShow.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Available for travel bookings and other services.","Personal air accident insurance cover of up to ₹25 lakh.","Total Protect insurance for unauthorized transactions.","NILL","Chip & PIN, contactless, 2FA.","Yes, accepted worldwide.","The IndusInd Bank Legend Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Indian citizens aged 18-65 with a clean credit history.","All dues must be paid on time; rewards program subject to change."
"IndusInd Bank","EazyDiner Credit Card","Retail","Dining","Guaranteed 25% to 50% OFF at over 2000+ premium restaurants & bars","https://www.indusind.com/content/dam/indusind-platform-images/banner-images/EazyDiner/th-EazyDiner_banner.jpg","https://indusind.com/in/en/personal/cards/credit-card/eazydiner-credit-card.html","https://indusind.com/in/en/personal/cards/credit-card/eazydiner-credit-card.html","INR 1999","INR 1999","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","Earn 10 Reward Points on every ₹100 spent on dining, shopping and entertainment","NILL","NILL","NILL","NILL","2000 welcome bonus EazyPoints, 12 months EazyDiner Prime membership worth INR 2,495","Contactless payments, Year-end summary of accounts","NILL","2000 welcome bonus EazyPoints, Postcard Hotel stay voucher worth INR 5,000","NILL","NILL","NILL","1% fuel surcharge waiver","Guaranteed 25% to 50% OFF at over 2000+ premium restaurants & bars","NILL","Two complimentary domestic visits every calendar quarter at airport lounges in India","Two complimentary movie tickets worth INR 200 each every month on bookmyshow.com","NILL","NILL","NILL","Extra 25% OFF up to ₹1000 every time you eat out & pay on the app via PayEazy","NILL","NILL","NILL","Two complimentary domestic visits every calendar quarter at airport lounges in India","NILL","Total Protect covers unauthorized transactions in case of loss/theft of card","Fraudulent use of your card is not a threat anymore","NILL","Contactless feature for fast, convenient and secure purchases","Yes, accepted worldwide","This card offers premium dining benefits, including guaranteed discounts at restaurants, rewards on spending, and complimentary services, making it ideal for food enthusiasts.","NILL","All dues must be paid on time; rewards program subject to change."
"IndusInd Bank","Platinum Aura Edge Visa/Master Credit Card","Credit Card","Lifestyle","Contactless payments, flexible reward plans, up to 8x reward points, fuel surcharge waiver","https://www.indusind.com/content/dam/indusind-platform-images/product/creditcardimages/PlatinumAuraEdgeVisaCreditCard396x257px.png","https://www.indusind.com/in/en/personal/cards/credit-card/platinum-aura-edge-visa-and-mastercard-credit-card-easy-credit.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=website&utm_medium=selectPlatinumAuraEdgeVisa&utm_campaign=Credit-Card","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn up to 8x reward points on select merchants","NILL","NILL","NILL","NILL","NILL","Contactless payments, flexible reward plans, fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","Travel insurance coverage","NILL","NILL","NILL","NILL","NILL","NILL","Discount vouchers from top brands","NILL","NILL","NILL","Travel insurance coverage","Total Protect against unauthorized transactions","NILL","Chip & PIN, contactless","Yes, accepted worldwide","The IndusInd Bank Platinum Aura Edge Visa and Mastercard Credit Card offers premium travel, shopping, and lifestyle benefits, including contactless payments and high rewards.","NILL","NILL"
"IndusInd Bank","Platinum Visa Credit Card","Retail","Lifestyle","Enjoy the best life has to offer with a card that’s made for your needs.","https://www.indusind.com/content/dam/indusind-platform-images/product/creditcardimages/Platinum396x257px.png","https://www.indusind.com/in/en/personal/cards/credit-card/platinum-visa-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=website&utm_medium=selectPlatinumVisa&utm_campaign=Credit-Card","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1.5 reward points for every ₹ 150 spent","NILL","NILL","NILL","1.5 reward points for every ₹ 150 spent","NILL","Comprehensive insurance benefits, Fuel surcharge waiver","NILL","NILL","NILL","NILL","NILL","Fuel surcharge waiver","NILL","NILL","Complimentary personal air accident insurance cover of up to INR 25 lakh","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Comprehensive insurance benefits","Total Protect covers you for unauthorized transactions","NILL","NILL","NILL","The IndusInd Bank Platinum Visa Credit Card offers a comprehensive range of travel and lifestyle benefits to suit your preferences.","NILL","NILL"
"IndusInd Bank","Pinnacle Credit Card","Premium","Lifestyle, Travel","Luxurious range of lifestyle and travel privileges","https://www.indusind.com/content/dam/indusind-platform-images/productCategory/desktopImage/creditCard/IB_Pinnacle-Card-Front.png","https://www.indusind.com/in/en/personal/cards/credit-card/pinnacle-world-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=Pinnacle&utm_medium=hpcarousal&utm_campaign=CC-Microsite&gclid=1&utm_content=1%20","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 2.5 reward points for every ₹100 spent on e-commerce transactions, 1.5 points on travel and airline transactions, and 1 point for every ₹100 on PoS, MoTo, IVR transactions.","NILL","NILL","NILL","2.5","Complimentary golf games, movie ticket offers, airport lounge access, and more.","High reward points, exclusive welcome gifts, insurance coverage, golf privileges, travel benefits, concierge services, auto assist.","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver.","NILL","NILL","Access to over 700 airport lounges worldwide, travel insurance for unforeseen incidents.","Buy one movie ticket and get the second one free, up to three free tickets in a month.","NILL","NILL","NILL","NILL","NILL","Luxury hotel stays, premium brand vouchers, and priority bookings.","NILL","1 complimentary visit every 3 months to any of the participating domestic lounges on your IndusInd Bank Pinnacle Credit Card.","24x7 concierge service for travel bookings, hotel reservations, and more.","Air accident cover of up to ₹25,00,000, protection against unauthorized transactions, counterfeit fraud.","Total Protect program covers unauthorized transactions up to 48 hours prior to reporting loss.","NILL","NILL","Yes, accepted worldwide.","The IndusInd Bank Pinnacle Credit Card offers a luxurious range of unique travel, lifestyle, and golf privileges, making it ideal for those who seek excellence in every aspect of life.","Income/ITR should be ₹10 lakh per annum for salaried individuals and ₹12 lakh per annum for self-employed individuals.","All dues must be paid on time; rewards program subject to change."
"IndusInd Bank","Avios Visa Infinite Credit Card","Super Premium","Travel","Maximize your opportunity to collect Avios with milestone benefits of up to 36,000 bonus Avios every year.","https://www.indusind.com/content/dam/indusind-platform-images/banner-images/avios-visa-infinite-cc/Avios-Visa-BG-Card.png","https://indusind.com/in/en/personal/cards/credit-card/avios-visa-infinite-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=QABA&utm_medium=hpcarousal&utm_campaign=CC-Microsite&gclid=1&utm_content=1","₹10,000","₹5,000","NILL","NILL","36%","NILL","₹100","₹100","NILL","NILL","NILL","NILL","2.5% of Over Limit Amount subject to a minimum of ₹500","1.5% at preferred destination, 3.5% all other destinations","NILL","NILL","NILL","NILL","1% (waived for transactions between ₹400-₹4000)","NILL","Earn Avios on every spend with accelerated rewards at preferred international destinations.","NILL","NILL","NILL","6 Avios for every ₹200 spent at selected preferred international destinations for PoS transactions.","20,000 bonus Avios as welcome benefit, 5,000 bonus Avios as renewal benefit, milestone benefits of 36,000 bonus Avios in a year.","Complimentary Priority Pass membership, 2 complimentary visits to international lounges, international travel health insurance, concierge services.","NILL","20,000 bonus Avios upon payment of joining fee.","NILL","18,000 bonus Avios after first spends of ₹800,000 in a year, 18,000 bonus Avios after second spends of ₹800,000 in a year.","NILL","1% fuel surcharge waiver at any fuel station in India.","NILL","NILL","Complimentary meet-and-greet services, discounted foreign currency markup, travel insurance benefits.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary visits to international lounges, 2 complimentary visits to domestic lounges per calendar quarter.","Complimentary concierge services including elderly care assist, event access, and travel assistance.","International travel health insurance with coverage of up to USD 25,000, personal air accident insurance cover of up to ₹25 lakhs.","Total Protect covering unauthorized transactions in case of loss/theft of card.","NILL","Chip-based contactless credit card for secure transactions.","Yes, accepted worldwide.","The IndusInd Bank Avios Visa Infinite Credit Card is an ultra-premium metal card designed for frequent travelers, offering unique benefits and rewards through Qatar Airways and British Airways.","NILL","NILL"
"IndusInd Bank","Nexxt Credit Card","Personal","NILL","India’s first Interactive credit card with in-built LED lights","https://www.indusind.com/content/dam/indusind-platform-images/productCategory/desktopImage/creditCard/nexxt-credit-card.jpg","https://www.indusind.com/in/en/microsites/nexxt.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=nextt&utm_medium=hpcarousal&utm_campaign=CC-Microsite&gclid=1&utm_content=13","NILL","NILL","NILL","NILL","12%","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1% waiver on fuel surcharge","NILL","Earn 1 Reward Point for every ₹150 spent","NILL","NILL","Yes, on spends above ₹2,500","1 Reward Point for every ₹150 spent","Two complimentary movie tickets up to ₹200 every month","Contactless payments, interactive LED buttons for payment options","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver","NILL","NILL","Comprehensive travel insurance","Buy 1 Get 1 free movie ticket monthly","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Air accident cover up to ₹25 lakh","Total Protect program against unauthorized transactions","NILL","Chip & PIN, contactless","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"IndusInd Bank","Tiger Credit Card","Retail","Lifestyle","Lifetime free card with accelerated rewards and lifestyle benefits","https://www.indusind.com/content/dam/indusind-platform-images/banner-images/tiger-credit-card/Card-Tiger-CC.png","https://www.indusind.com/in/en/personal/cards/credit-card/tiger-credit-card.html","https://induseasycredit.indusind.com/customer/credit-card/new-lead?utm_source=BAJAJCAPITAL&utm_medium=iblwebsite%20&utm_campaign=CC-Microsite&gclid=1&utm_content=1","Nil","Nil","NILL","NILL","42% p.a.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1.5%","NILL","NILL","NILL","NILL","NILL","NILL","Earn up to 6X accelerated reward points on every ₹100 spent","NILL","NILL","NILL","1 point per ₹100 spent","Complimentary movie tickets, golf games, lounge access","Lifetime free, low forex markup, concierge services","NILL","NILL","NILL","NILL","NILL","1% fuel surcharge waiver on transactions between ₹400 to ₹4000","NILL","NILL","Complimentary lounge access, low forex fees","1 complimentary movie ticket every 6 months","NILL","NILL","NILL","NILL","NILL","NILL","NILL","2 complimentary domestic lounge visits per quarter, 2 international lounge visits per year","24/7 concierge services for travel and lifestyle needs","Air accident cover up to ₹25 lakhs","Insurance against unauthorized transactions","NILL","NILL","Yes, suitable for international transactions","The IndusInd Bank Tiger Credit Card offers a unique rewards program, complimentary golf games, and lounge access, making it ideal for lifestyle and travel enthusiasts.","NILL","NILL"
