"bank_name","card_name","card_type","card_category","card_usp","card_image_url","know_more_link","apply_now_link","joining_fee","annual_fee","annual_fee_waiver","add_on_card_fee","interest_rate_pa","card_replacement_fee","cash_payment_fee","duplicate_statement_fee","outstation_cheque_fee","hostlisting_charges","cash_withdrawal_fee","overdue_penalty_fee","over_limit_penalty","foreign_currency_transaction_fee","reward_point_redemption_fee","dynamic_currency_conversion_markup","education_transaction_fee","wallet_load_transaction_fee","fuel_transaction_fee","utility_transaction_fee","rewards_program","cashback_with_every_transaction","spend_based_reversal","flexipay","reward_points","rewards","features","returns_rate","welcome_benefit","welcome_points","milestone_benefit","bonus_points","fuel_benefits","dining_benefits","culinary_treats","travel_benefits","movie_benefits","OTT_benefits","cashback_offers","voucher_offers","mobile_app_benefits","stay_benefits","lifestyle_benefits","e_commerce","lounge_access","concierge_service","insurance","fraud_protection","health_and_wellness_benefits","security_features","international_use","full_card_description","eligibility_criteria","terms_and_conditions"
"IDFC FIRST Bank","Ashva Credit Card","Retail","Lifestyle","A Metal Credit Card with premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance.","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/CC-new-image-Group-1171284808.jpg","https://www.idfcfirstbank.com/credit-card/metal-credit-card/ashva#","https://www.idfcfirstbank.com/credit-card/metal-credit-card/ashva#","₹2,999+GST","₹2,999+GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","1%","NILL","NILL","NILL","NILL","NILL","NILL","Earn Up to 60X Reward Points Redemption value of up to ₹0.40 per Reward Point","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","4 points per ₹150 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","₹500 cashback for each of any 4 transactions worth ₹500 or more within 60 days of card generation","NILL","7,500 reward points on spending ₹8,00,000 or more in a card anniversary year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","NILL","Complimentary access to airport lounges 4 times in India & 2 times overseas, every quarter","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","Air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","Mayura Credit Card","Retail","Lifestyle","0% forex markup on international transactions, complimentary airport lounge access, and premium rewards.","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/CCL-Front-Mayura-image.jpg","https://www.idfcfirstbank.com/credit-card/metal-credit-card/mayura#","https://www.idfcfirstbank.com/credit-card/metal-credit-card/mayura#","₹5,999+GST","₹5,999+GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","₹199+GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn up to 60X Reward Points","1% cashback on all spends","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","4 points per ₹150 spent","Free movie tickets, shopping vouchers","Contactless payments, lounge access","NILL","₹1,000 cashback for 4 transactions worth ₹1,000 or more within 60 days of card generation","NILL","7,500 reward points on spends above ₹8,00,000 in a year","500 points on birthday month","1% fuel surcharge waiver","20% off at select restaurants","Chef's table invitations","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","4 complimentary visits per quarter to domestic lounges and 4 to international lounges","24x7 concierge for travel bookings","Comprehensive travel insurance coverage up to USD 1200","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","NILL","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","FIRST EA₹N RuPay Credit Card","Retail","Cashback","Earn up to 1% cashback on every spend","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/First-earn-card-image.png","https://www.idfcfirstbank.com/credit-card/secured-rupay-credit-card","https://www.idfcfirstbank.com/content/idfcfirstbank/en/credit-card/ntb-diy/cashback-card-standalone?utm_source=website","₹499 + GST","₹499 + GST","100% cashback up to ₹500 on your first UPI transaction","","8.5% - 46.2%","","","","","","","","","","","","","","","","Earn 1% cashback on every spend via the IDFC FIRST Bank mobile app","1% cashback on UPI spends via IDFC FIRST Bank app, 0.5% on other UPI apps","Annual fee reversed if spends > ₹1 lakh/year","Yes, on spends above ₹2,500","1 point per ₹150 spent","Cashback on every spend, discounts on movie tickets","UPI enabled, cashback on utility payments, easy EMI conversion","","100% cashback up to ₹500 on your first UPI transaction","","","","","","","","","","","","","","","","","","Lost card liability of ₹25,000 and personal accident cover of ₹2,00,000","Zero liability if reported within 24 hours","","Chip & PIN, contactless payments","Yes, accepted worldwide","The FIRST EA₹N RuPay Credit Card offers cashback on every spend, UPI convenience, and is backed by a fixed deposit, making it ideal for those without a credit history.","Age 18 years or above, Indian citizen, must hold a fixed deposit with IDFC FIRST Bank of minimum ₹5,000","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","FIRST Select Debit Card","Retail","Lifestyle","Complimentary Lounge access for you & companion, Enhanced Withdrawal and transaction limits, Road Side Assistance, Premium lifestyle benefits","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/millennia-range.png","https://www.idfcfirstbank.com/personal-banking/payments/cards/debit-card/visa-select-debit-card","https://www.idfcfirstbank.com/credit-card/ntb-diy/apply?cardType=EAVC&utm_source=website","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary Lounge access for you & companion, Enhanced Withdrawal and transaction limits, Road Side Assistance, Premium lifestyle benefits","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Complimentary Lounge access for you & companion","NILL","NILL","NILL","NILL","NILL","NILL","Enter a superior lifestyle with a FIRST Select card that comes with an unending array of benefits, rewards and discounts designed only for a select few.","NILL","NILL"
"IDFC FIRST Bank","FIRST SWYP Credit Card","Retail","Shopping","Convert transactions and balances to affordable EMIs with no interest charges.","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/swyp-range.png","https://www.idfcfirstbank.com/credit-card/swyp-emi-credit-card","https://www.idfcfirstbank.com/credit-card/ntb-diy/apply?cardType=FSWM","₹499 + GST","₹499 + GST","Spend ₹5,000 within 30 days to get a ₹500 Amazon voucher and 1,000 reward points on first EMI conversion.","NILL","NILL","NILL","NILL","NILL","NILL","NILL","₹199 + GST","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Earn 200 reward points on spending ₹5,000, 500 points on ₹10,000, and 1,000 points on ₹15,000 monthly spends.","NILL","Annual fee waived on spending ₹5,000 within 45 days of annual fee levy.","Yes, on spends above ₹2,500.","1 reward point = ₹0.25","Discounts on various brands, cashback offers, and referral benefits.","EMI conversion, cashback on UPI spends, complimentary railway lounge access, and roadside assistance.","NILL","Amazon voucher worth ₹500 on spending ₹5,000 within 30 days of joining fee payment.","1,000 reward points on first EMI conversion within 30 days.","Earn additional reward points on monthly spends exceeding ₹5,000.","NILL","1% fuel surcharge waiver up to ₹200 per month.","NILL","NILL","Complimentary railway lounge access and travel insurance.","25% discount on movie tickets up to ₹100.","NILL","NILL","Discounts on partner brands like Zomato, EaseMyTrip, and more.","Exclusive offers and rewards through the IDFC FIRST Bank mobile app.","NILL","NILL","NILL","Complimentary railway lounge access.","NILL","Travel insurance and personal accident cover.","Zero liability on unauthorized transactions if reported within 24 hours.","NILL","Chip & PIN, contactless payments, and 2FA.","Yes, accepted worldwide.","The FIRST SWYP Credit Card offers a unique way to manage your expenses with easy EMI options, cashback rewards, and a host of lifestyle benefits, making it ideal for everyday spending and travel.","Age, income, and credit score requirements apply.","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","IDFC FIRST WOW! Credit Card","Retail","Travel","Zero Forex Markup Fees, Lifetime-Free, FD-Backed Premium Credit Card","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/first-cc-rewamp/classic-card.png","https://www.idfcfirstbank.com/credit-card/wow","https://www.idfcfirstbank.com/credit-card/ntb-diy/secure-card-standalone?utm_campaign=website","₹0","₹0","NILL","NILL","8.5% - 46.2% per annum","NILL","NILL","NILL","NILL","NILL","₹199 + GST","NILL","NILL","0%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 4X Reward Points on every travel spend","NILL","NILL","NILL","4 points per ₹150 spent","Free movie tickets, shopping vouchers","No income proof required, Instant Issuance, Fully Digital Online Application","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","NILL","NILL","NILL","Extra points on app transactions","NILL","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","At least 18 years of age, Be an Indian citizen with a permanent address in India, Minimum FD amount of ₹20,000 created during the credit card application process online","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","FIRST Power+ Credit Card","Retail","Fuel","Save up to ₹18,500 annually with this credit card, enough to buy you 175+ litres of fuel","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/power-range.png","https://www.idfcfirstbank.com/credit-card/hpcl-power-fuel-credit-card","https://www.idfcfirstbank.com/credit-card/ntb-diy/apply?cardType=RPLP&utm_source=website","₹499","₹499","Annual fee reversed on spends of ₹1,50,000 or more in a year","NILL","8.5% to 46.2% per annum","NILL","NILL","NILL","NILL","NILL","₹199","15% of Total Amount Due (subject to a minimum of ₹100 and a maximum of ₹1300)","2.5% of the over-limit amount subject to a minimum charge of ₹550","NILL","NILL","NILL","NILL","NILL","NILL","NILL","3X Rewards on UPI and other retail transactions","5% cashback (up to ₹1,000) on the transaction value of 1st EMI conversion","Annual fee reversed on spends of ₹1,50,000 or more in a year","Yes, on spends above ₹2,500","30X Reward Points on HPCL fuel spends, Grocery & Utility and IDFC FIRST FASTag recharge","Exciting merchant offers worth ₹1,000+","Complimentary Domestic Airport Lounge access, once every quarter, on minimum monthly spends of ₹20,000","NILL","Welcome benefits worth ₹2500","NILL","Free flight ticket on spends above ₹5 lakh/year","500 points on birthday month","Up to 6.5% savings on your fuel expenses","25% off on movie tickets up to ₹100, once every month","NILL","Up to 8.83% savings on hotel & flight bookings through IDFC FIRST Mobile App","NILL","NILL","NILL","NILL","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","Complimentary Domestic Airport Lounge access, once every quarter","24x7 concierge for travel bookings","Personal Accident Cover of ₹2,00,000 and Lost Card Liability Cover of ₹25,000","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","You must be at least 21 years old, an Indian citizen, have a healthy credit score, and an Annual Income of ₹3 lacs or more.","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","FIRST Select Credit Card","Lifestyle","Travel","Lifetime free credit card with unlimited airport lounge access and 10X reward points on select categories.","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/cc-new-revamp/content-img/lic-range.png","https://idfcfirstbank.com/credit-card/select","https://idfcfirstbank.com/credit-card/ntb-diy/apply?utm_source=website","NILL","NILL","NILL","NILL","From 8.5% - 46.2% per annum","NILL","NILL","NILL","NILL","NILL","0% Interest for up to 45 days ₹199 + GST per transaction","NILL","NILL","1.99%","NILL","NILL","NILL","NILL","1% Fuel surcharge waiver","NILL","Earn 10X reward points on spends above ₹20,000 per statement cycle and 3X on other spends.","Up to ₹1,000 cashback on first EMI transaction within 30 days of card generation.","NILL","Yes, on spends above ₹2,500.","1X = 1 Reward Point per ₹150 spent","Complimentary airport lounge access, Buy-1-Get-1 movie ticket offers, discounts on dining and shopping.","Lifetime free, low forex markup, comprehensive insurance coverage, and 24/7 roadside assistance.","NILL","₹500 gift voucher on spending ₹5,000 within 30 days of card generation.","NILL","NILL","NILL","1% fuel surcharge waiver up to ₹300 in a statement cycle.","Discounts of up to 20% in over 1500 restaurants.","NILL","Complimentary domestic airport lounge access and railway lounge visits.","Buy-1-Get-1 movie ticket offers.","NILL","NILL","NILL","Exclusive offers and rewards through the mobile app.","NILL","Over 300+ merchant offers across various categories.","NILL","2 complimentary domestic airport lounge visits per quarter.","Travel concierge services available.","Comprehensive travel insurance cover up to ₹10,000.","NILL","NILL","NILL","Yes, accepted worldwide.","The FIRST Select Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Annual income of ₹12 lakhs or more, age 18 years or older, good credit score, Indian resident.","All dues must be paid on time; rewards program subject to change."
"IDFC FIRST Bank","FIRST Wealth Credit Card","Premium","Travel, Lifestyle, Shopping","Lifetime free card with premium benefits including low forex markup and complimentary lounge access","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/first-cc-rewamp/select-card.png","https://www.idfcfirstbank.com/credit-card/wealth","https://www.idfcfirstbank.com/credit-card/ntb-diy/apply?utm_source=website&utm_medium=wealth_productpage&utm_campaign=formfield_september2024","NIL","NIL","NILL","NILL","0.75% to 3.5% per month (8.5% to 46.2% per annum)","NILL","NILL","NILL","NILL","NILL","₹199 per transaction","NILL","NILL","1.5% + GST","₹99 + GST","NILL","NILL","NILL","NILL","NILL","3X Reward Points on spends up to ₹20,000, 10X on incremental spends above ₹20,000 and on birthday","5% cashback (up to ₹1,000) on first EMI transaction within 30 days","NILL","Available on transactions above ₹2,500","3X on spends up to ₹20,000, 10X on incremental spends above ₹20,000","Complimentary lounge access, cashback offers, and more","Lifetime free, low forex markup, complimentary golf rounds, and travel insurance","NILL","₹500 voucher on spending ₹5,000 within 30 days","NILL","NILL","NILL","1% fuel surcharge waiver up to ₹400","Up to 20% off at 1500+ restaurants","NILL","Complimentary airport lounge access, travel insurance","Buy 1 Get 1 movie ticket offer up to ₹250","NILL","NILL","NILL","Manage card, track rewards, and redeem points via app","Discounts at luxury hotels","NILL","NILL","2 complimentary domestic and 2 international lounge visits per quarter","Personalized concierge service available","Air accident cover of ₹1 crore, personal accident cover of ₹10 lakh","NILL","NILL","NILL","Yes, accepted worldwide","The IDFC FIRST Wealth Credit Card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Annual income of ₹36 lakhs or more","NILL"
"IDFC FIRST Bank","IDFC FIRST WOW! Credit Card","Retail","Travel","Zero Forex Markup Fees, Lifetime-Free, FD-Backed Premium Credit Card","https://www.idfcfirstbank.com/content/dam/idfcfirstbank/images/first-cc-rewamp/wealth-card.png","https://idfcfirstbank.com/credit-card/wow","https://idfcfirstbank.com/credit-card/ntb-diy/secure-card-standalone?utm_campaign=website","₹0","₹0","NILL","NILL","8.5% - 46.2% per annum","NILL","NILL","NILL","NILL","NILL","₹199 + GST","NILL","NILL","0%","NILL","NILL","NILL","NILL","NILL","NILL","Earn 4X Reward Points on every travel spend","NILL","NILL","NILL","4 points per ₹150 spent","Free movie tickets, shopping vouchers","No credit history or income proof required, Instant Issuance, Fully Digital Online Application","NILL","NILL","NILL","NILL","NILL","NILL","NILL","NILL","Free travel insurance, airport transfers","Buy 1 Get 1 free ticket monthly","3 months free Netflix","NILL","₹500 Myntra voucher on spends > ₹50,000","Extra points on app transactions","10% off at partner hotels","Free gym membership","2% cashback on Amazon/Flipkart","8 free domestic lounge visits per year","24x7 concierge for travel bookings","air accident cover, travel insurance","Zero liability if reported within 24 hours","NILL","chip & PIN, contactless, 2FA","Yes, accepted worldwide","This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","At least 18 years of age, Be an Indian citizen with a permanent address in India, Minimum FD amount of ₹20,000 created during the credit card application process online","All dues must be paid on time; rewards program subject to change."
